"person_id","first_name","last_name","display_first_last","display_last_comma_first","display_fi_last","birthdate","school","country","last_affiliation","height","weight","season_exp","jersey","position","rosterstatus","team_id","team_name","team_abbreviation","team_code","team_city","playercode","from_year","to_year","dleague_flag"
700,"Keith","Tower","Keith Tower","Tower, Keith","K. Tower","1970-05-15T00:00:00",NA,"US","Notre Dame/US","","",0,"","","Inactive",0,"","","","","HISTADD_keith_tower","1993","1996","N"
701,"Frankie","King","Frankie King","King, Frankie","F. King","1972-06-06T00:00:00","Western Carolina","US","Western Carolina/US","6-1","185",1,"20","Guard","Active",1610612755,"76ers","PHI","sixers","Philadelphia","HISTADD_frankie_king","1995","1996","N"
702,"Voshon","Lenard","Voshon Lenard","Lenard, Voshon","V. Lenard","1973-05-14T00:00:00","Minnesota","US","Minnesota/US","6-4","215",10,"0","Guard","Active",1610612757,"Trail Blazers","POR","blazers","Portland","voshon_lenard","1995","2005","N"
703,"Kurt","Thomas","Kurt Thomas","Thomas, Kurt","K. Thomas","1972-10-04T00:00:00","Texas Christian","USA","Texas Christian/USA","","",0,"","","Inactive",0,"","","","","kurt_thomas","1995","2012","N"
704,"Shawn","Respert","Shawn Respert","Respert, Shawn","S. Respert","1972-02-06T00:00:00","Michigan State","US","Michigan State/US","","",0,"","","Inactive",0,"","","","","HISTADD_shawn_respert","1995","1998","N"
705,"Randolph","Keys","Randolph Keys","Keys, Randolph","R. Keys","1966-04-19T00:00:00","Southern Mississippi","US","Southern Mississippi/US","6-7","210",4,"31","Forward","Active",1610612749,"Bucks","MIL","bucks","Milwaukee","HISTADD_randolph_keys","1988","1995","N"
706,"Jerome","Allen","Jerome Allen","Allen, Jerome","J. Allen","1973-01-28T00:00:00","Pennsylvania","US","Pennsylvania/US","6-4","184",1,"53","Guard","Active",1610612743,"Nuggets","DEN","nuggets","Denver","HISTADD_jerome_allen","1995","1996","N"
707,"Mark","Davis","Mark Davis","Davis, Mark","M. Davis","1973-04-26T00:00:00","Texas Tech","US","Texas Tech/US","6-7","205",3,"7","Guard-Forward","Active",1610612744,"Warriors","GSW","warriors","Golden State","HISTADD_mark_davis","1995","1999","N"
708,"Kevin","Garnett","Kevin Garnett","Garnett, Kevin","K. Garnett","1976-05-19T00:00:00","Farragut Academy HS (CHI)","USA","Farragut Academy HS (IL)/USA","6-11","253",19,"21","Forward-Center","Active",1610612750,"Timberwolves","MIN","timberwolves","Minnesota","kevin_garnett","1995","2014","N"
709,"Ed","O'Bannon","Ed O'Bannon","O'Bannon, Ed","E. O'Bannon","1972-08-14T00:00:00","UCLA",NA,"UCLA","","",0,"","","Inactive",0,"","","","","ed_obannon","1995","1996","N"
710,"David","Vaughn","David Vaughn","Vaughn, David","D. Vaughn","1973-03-23T00:00:00","Memphis State","US","Memphis/US","","",0,"","","Inactive",0,"","","","","HISTADD_david_vaughn","1995","1998","N"
711,"Jerry","Stackhouse","Jerry Stackhouse","Stackhouse, Jerry","J. Stackhouse","1974-11-05T00:00:00","North Carolina","USA","North Carolina/USA","6-6","218",17,"42","Forward","Active",1610612751,"Nets","BKN","nets","Brooklyn","jerry_stackhouse","1995","2012","N"
712,"Mario","Bennett","Mario Bennett","Bennett, Mario","M. Bennett","1973-08-01T00:00:00","Arizona State","US","Arizona State ''95/US","6-9","235",4,"24","Center-Forward","Active",1610612737,"Hawks","ATL","hawks","Atlanta","HISTADD_mario_bennett","1995","2002","N"
